Flat profile:

Each sample counts as 0.01 seconds.
  %   cumulative   self              self     total           
 time   seconds   seconds    calls  Ts/call  Ts/call  name    
 [121] collision (d2q9-bgk.c:309 @ 4013f0) [11] collision (d2q9-bgk.c:387 @ 4015c0) [10] collision (d2q9-bgk.c:385 @ 401743)
  [16] collision (d2q9-bgk.c:316 @ 4013fb) [9] collision (d2q9-bgk.c:386 @ 4015cd) [149] collision (d2q9-bgk.c:306 @ 401754)
 [153] collision (d2q9-bgk.c:321 @ 401415) [106] collision (d2q9-bgk.c:385 @ 4015d1) [150] propagate (d2q9-bgk.c:246 @ 401126)
  [45] collision (d2q9-bgk.c:316 @ 401419) [107] collision (d2q9-bgk.c:362 @ 4015d6) [130] propagate (d2q9-bgk.c:240 @ 40113b)
  [46] collision (d2q9-bgk.c:332 @ 401432) [74] collision (d2q9-bgk.c:362 @ 4015e2) [100] propagate (d2q9-bgk.c:253 @ 401160)
 [154] collision (d2q9-bgk.c:322 @ 40143c) [75] collision (d2q9-bgk.c:363 @ 4015e7) [101] propagate (d2q9-bgk.c:240 @ 401198)
  [35] collision (d2q9-bgk.c:316 @ 401441) [65] collision (d2q9-bgk.c:387 @ 4015f5) [136] propagate (d2q9-bgk.c:245 @ 40119b)
 [155] collision (d2q9-bgk.c:324 @ 40144d) [66] collision (d2q9-bgk.c:364 @ 4015fa) [87] propagate (d2q9-bgk.c:251 @ 4011a3)
  [39] collision (d2q9-bgk.c:316 @ 401455) [37] collision (d2q9-bgk.c:387 @ 401603) [88] propagate (d2q9-bgk.c:245 @ 4011a8)
  [36] collision (d2q9-bgk.c:316 @ 401462) [17] collision (d2q9-bgk.c:386 @ 40160b) [3] propagate (d2q9-bgk.c:245 @ 4011af)
 [138] collision (d2q9-bgk.c:324 @ 40146b) [34] collision (d2q9-bgk.c:365 @ 40160f) [133] propagate (d2q9-bgk.c:252 @ 4011be)
  [81] collision (d2q9-bgk.c:325 @ 401479) [142] collision (d2q9-bgk.c:366 @ 401614) [116] propagate (d2q9-bgk.c:254 @ 4011c1)
  [82] collision (d2q9-bgk.c:316 @ 40147d) [114] collision (d2q9-bgk.c:385 @ 40161d) [127] propagate (d2q9-bgk.c:252 @ 4011c5)
  [83] collision (d2q9-bgk.c:329 @ 401485) [115] collision (d2q9-bgk.c:365 @ 401622) [117] propagate (d2q9-bgk.c:254 @ 4011cb)
  [77] collision (d2q9-bgk.c:316 @ 40148d) [135] collision (d2q9-bgk.c:365 @ 40162a) [21] propagate (d2q9-bgk.c:252 @ 4011d2)
 [156] collision (d2q9-bgk.c:330 @ 401491) [63] collision (d2q9-bgk.c:370 @ 40162f) [76] propagate (d2q9-bgk.c:253 @ 4011e8)
  [40] collision (d2q9-bgk.c:316 @ 401495) [94] collision (d2q9-bgk.c:366 @ 401632) [12] propagate (d2q9-bgk.c:254 @ 4011f4)
  [57] collision (d2q9-bgk.c:331 @ 40149a) [95] collision (d2q9-bgk.c:370 @ 40163c) [38] propagate (d2q9-bgk.c:255 @ 401200)
   [2] collision (d2q9-bgk.c:320 @ 40149e) [96] collision (d2q9-bgk.c:366 @ 401640) [131] propagate (d2q9-bgk.c:256 @ 401207)
  [54] collision (d2q9-bgk.c:328 @ 4014a2) [137] collision (d2q9-bgk.c:365 @ 40164e) [111] propagate (d2q9-bgk.c:255 @ 40120b)
  [90] collision (d2q9-bgk.c:337 @ 4014ac) [43] collision (d2q9-bgk.c:387 @ 401653) [112] propagate (d2q9-bgk.c:259 @ 401210)
  [56] collision (d2q9-bgk.c:343 @ 4014b0) [78] collision (d2q9-bgk.c:386 @ 40165b) [132] propagate (d2q9-bgk.c:259 @ 401215)
  [19] collision (d2q9-bgk.c:337 @ 4014b7) [68] collision (d2q9-bgk.c:369 @ 40165f) [33] propagate (d2q9-bgk.c:256 @ 401218)
 [113] collision (d2q9-bgk.c:345 @ 4014bf) [22] collision (d2q9-bgk.c:385 @ 401664) [118] propagate (d2q9-bgk.c:256 @ 401226)
  [72] collision (d2q9-bgk.c:345 @ 4014c7) [97] collision (d2q9-bgk.c:369 @ 401671) [119] propagate (d2q9-bgk.c:257 @ 40122e)
  [73] collision (d2q9-bgk.c:347 @ 4014cc) [98] collision (d2q9-bgk.c:370 @ 40167b) [120] propagate (d2q9-bgk.c:258 @ 401230)
  [41] collision (d2q9-bgk.c:347 @ 4014d6) [157] collision (d2q9-bgk.c:373 @ 40167f) [124] propagate (d2q9-bgk.c:257 @ 401233)
 [143] collision (d2q9-bgk.c:347 @ 4014e7) [44] collision (d2q9-bgk.c:371 @ 401686) [104] propagate (d2q9-bgk.c:258 @ 40123d)
  [47] collision (d2q9-bgk.c:337 @ 4014ec) [48] collision (d2q9-bgk.c:373 @ 40168a) [105] propagate (d2q9-bgk.c:257 @ 401241)
 [122] collision (d2q9-bgk.c:346 @ 4014f9) [20] collision (d2q9-bgk.c:387 @ 401693) [59] propagate (d2q9-bgk.c:258 @ 401246)
  [42] collision (d2q9-bgk.c:337 @ 4014fc) [67] collision (d2q9-bgk.c:386 @ 40169c) [60] propagate (d2q9-bgk.c:259 @ 40124c)
   [4] collision (d2q9-bgk.c:357 @ 401501) [108] collision (d2q9-bgk.c:385 @ 4016a1) [128] propagate (d2q9-bgk.c:258 @ 401250)
   [5] collision (d2q9-bgk.c:346 @ 401506) [51] collision (d2q9-bgk.c:372 @ 4016a6) [52] propagate (d2q9-bgk.c:259 @ 401255)
  [31] collision (d2q9-bgk.c:348 @ 40150f) [84] collision (d2q9-bgk.c:373 @ 4016b3) [134] propagate (d2q9-bgk.c:240 @ 401260)
  [14] collision (d2q9-bgk.c:354 @ 401528) [85] collision (d2q9-bgk.c:374 @ 4016b7)
