Flat profile:

Each sample counts as 0.01 seconds.
  %   cumulative   self              self     total           
 time   seconds   seconds    calls  Ts/call  Ts/call  name    
  0.27     31.46     0.09                             rebound_collision (d2q9-bgkOld.c:387 @ 401680)
  0.26     31.55     0.09                             rebound_collision (d2q9-bgkOld.c:401 @ 401659)
  0.24     31.63     0.08                             av_velocity (d2q9-bgkOld.c:437 @ 40189a)
  0.24     31.71     0.08                             av_velocity (d2q9-bgkOld.c:439 @ 4018ce)
  0.24     31.79     0.08                             av_velocity (d2q9-bgkOld.c:432 @ 4018d2)
  0.24     31.87     0.08                             propagate (d2q9-bgkOld.c:241 @ 4010f7)
  0.24     31.95     0.08                             rebound_collision (d2q9-bgkOld.c:400 @ 401698)
  0.24     32.03     0.08                             rebound_collision (d2q9-bgkOld.c:390 @ 40169d)
  0.24     32.11     0.08                             rebound_collision (d2q9-bgkOld.c:391 @ 4016aa)
  0.21     32.18     0.07                             av_velocity (d2q9-bgkOld.c:449 @ 4018e1)
  0.21     32.25     0.07                             av_velocity (d2q9-bgkOld.c:447 @ 4018e6)
  0.21     32.32     0.07                             rebound_collision (d2q9-bgkOld.c:363 @ 4014ae)
  0.21     32.39     0.07                             rebound_collision (d2q9-bgkOld.c:402 @ 401606)
  0.18     32.45     0.06                             rebound_collision (d2q9-bgkOld.c:377 @ 4015c2)
  0.17     32.51     0.06                             rebound_collision (d2q9-bgkOld.c:392 @ 4016ae)
  0.15     32.56     0.05                             propagate (d2q9-bgkOld.c:245 @ 4010a3)
  0.15     32.61     0.05                             propagate (d2q9-bgkOld.c:253 @ 4010f4)
  0.12     32.65     0.04                             rebound_collision (d2q9-bgkOld.c:310 @ 4013c7)
  0.09     32.68     0.03                             propagate (d2q9-bgkOld.c:258 @ 40117a)
  0.09     32.71     0.03                             rebound_collision (d2q9-bgkOld.c:320 @ 401388)
  0.06     32.73     0.02                             propagate (d2q9-bgkOld.c:252 @ 4010d6)
  0.06     32.75     0.02                             rebound_collision (d2q9-bgkOld.c:317 @ 40137e)
  0.06     32.77     0.02                             rebound_collision (d2q9-bgkOld.c:361 @ 401491)
  0.06     32.79     0.02                             rebound_collision (d2q9-bgkOld.c:391 @ 401674)
  0.06     32.81     0.02                             rebound_collision (d2q9-bgkOld.c:389 @ 40167b)
  0.05     32.82     0.02                             propagate (d2q9-bgkOld.c:260 @ 401138)
  0.05     32.84     0.02                             propagate (d2q9-bgkOld.c:257 @ 40114c)
  0.05     32.85     0.02                             rebound_collision (d2q9-bgkOld.c:315 @ 401365)
  0.05     32.87     0.02                             rebound_collision (d2q9-bgkOld.c:390 @ 4016b3)
  0.03     32.88     0.01                             accelerate_flow (d2q9-bgkOld.c:220 @ 400fa2)
  0.03     32.89     0.01                             av_velocity (d2q9-bgkOld.c:422 @ 401820)
