Flat profile:

Each sample counts as 0.01 seconds.
  %   cumulative   self              self     total           
 time   seconds   seconds    calls  Ts/call  Ts/call  name    
  0.37     25.50     0.12                             propagate (d2q9-bgk.c:257 @ 40113e)
  0.37     25.62     0.12                             propagate (d2q9-bgk.c:258 @ 401140)
  0.37     25.73     0.12                             rebound_collision (d2q9-bgk.c:339 @ 401378)
  0.37     25.85     0.12                             rebound_collision (d2q9-bgk.c:402 @ 4014aa)
  0.37     25.96     0.12                             rebound_collision (d2q9-bgk.c:375 @ 4014b3)
  0.35     26.07     0.11                             av_velocity (d2q9-bgk.c:432 @ 401911)
  0.35     26.18     0.11                             av_velocity (d2q9-bgk.c:441 @ 401916)
  0.35     26.29     0.11                             propagate (d2q9-bgk.c:251 @ 4010b3)
  0.35     26.40     0.11                             propagate (d2q9-bgk.c:245 @ 4010b8)
  0.35     26.51     0.11                             rebound_collision (d2q9-bgk.c:372 @ 4012f7)
  0.35     26.62     0.11                             rebound_collision (d2q9-bgk.c:331 @ 40136f)
  0.35     26.73     0.11                             rebound_collision (d2q9-bgk.c:360 @ 4013d4)
  0.35     26.84     0.11                             rebound_collision (d2q9-bgk.c:362 @ 4013d9)
  0.35     26.95     0.11                             rebound_collision (d2q9-bgk.c:395 @ 40163c)
  0.34     27.06     0.11                             rebound_collision (d2q9-bgk.c:377 @ 4014f1)
  0.34     27.16     0.11                             rebound_collision (d2q9-bgk.c:378 @ 4014f6)
  0.32     27.26     0.10                             av_velocity (d2q9-bgk.c:439 @ 401923)
  0.32     27.36     0.10                             av_velocity (d2q9-bgk.c:432 @ 401927)
  0.32     27.47     0.10                             propagate (d2q9-bgk.c:258 @ 40114d)
  0.32     27.57     0.10                             rebound_collision (d2q9-bgk.c:360 @ 4013cc)
  0.32     27.67     0.10                             rebound_collision (d2q9-bgk.c:352 @ 4013d0)
  0.32     27.77     0.10                             rebound_collision (d2q9-bgk.c:401 @ 40156a)
  0.32     27.87     0.10                             rebound_collision (d2q9-bgk.c:384 @ 40156e)
  0.31     27.96     0.10                             propagate (d2q9-bgk.c:257 @ 401151)
  0.31     28.06     0.10                             rebound_collision (d2q9-bgk.c:336 @ 401330)
  0.31     28.15     0.10                             rebound_collision (d2q9-bgk.c:358 @ 4013bd)
  0.31     28.25     0.10                             rebound_collision (d2q9-bgk.c:380 @ 401539)
  0.31     28.34     0.10                             rebound_collision (d2q9-bgk.c:385 @ 40153e)
  0.31     28.44     0.10                             rebound_collision (d2q9-bgk.c:400 @ 4015e6)
  0.31     28.53     0.10                             rebound_collision (d2q9-bgk.c:390 @ 4015eb)
  0.31     28.63     0.10                             rebound_collision (d2q9-bgk.c:393 @ 401626)
